Animal Name;Animal Type;Skin;Age;
PACO;DOG;CREAM;1;
*ALEXA;CAT;GRAY;7;
*BUTTERCUP;CAT;BLACK;2;
HER;DOG;WHITE;4;
*MARKY BARK;DOG;BLACK;3;
HERCULES;DOG;RED;2;
*SKIPPY;CAT;BRN TABBY;6;
*DOT;CAT;BLACK;2;
*ZUKO;CAT;WHITE;2;
ANDY;CAT;BLACK;2;
PANCHO;DOG;BLACK;7;
MANDO;CAT;LILAC PT;2;
*SPACESHEEK;CAT;WHITE;8;
JINJO;CAT;BLK SMOKE;4;
JAX;DOG;BLACK;7;
DOG #7 PRINCESS;DOG;BLACK;5;
*KIKI;CAT;BLACK;2;
ODDY;DOG;GRAY;11;
SURI;CAT;BLACK;7;
*BRAD;CAT;BLACK;1;
*BRYCE;CAT;GRAY TABBY;1;
*HONEY;CAT;TORTIE;5;
*ARMANI;CAT;TORTIE;5;
*ORI KITTEN 1;CAT;GRAY;0;
*ORI MOMMA CAT;CAT;GRAY;2;
SABRINA;CAT;CALICO;9;
ELLIOTT;CAT;ORG TABBY;4;
*;CAT;CALICO DIL;2;
*;CAT;CALICO TAB;2;
*SPARKLE;CAT;CALICO;3;
*RAYMOND;RABBIT;BLK SMOKE;4;
ZOE;DOG;BLACK;9;
*ARWEN;DOG;TRICOLOR;4;
SMURFY;CAT;SLVR TABBY;2;
CASEY;DOG;TAN;6;
BREEZE;DOG;BLACK;18;
CALCETA;CAT;GRAY;7;
*GRACIE;DOG;BLACK;1;
ATHENA;CAT;WHITE;9;
*CHAVI;CAT;TORTIE;4;
*AMELIA EARHART;CAT;ORANGE;2;
MOCHI;DOG;WHITE;8;
*PANCHITO;CAT;WHITE;11;
*CHEVY;CAT;WHITE;13;
JIMMY;CAT;BLK TABBY;0;
*SCOOTER;DOG;BLUE MERLE;1;
BABY;DOG;BROWN;5;
*BANJO;DOG;BLACK;6;
TONY;DOG;BLACK;9;
SKY;CAT;GRAY;9;
*FABI;CAT;CALICO;3;
*PABLO;CAT;WHITE;3;
*SHANDY;CAT;BRN TABBY;6;
*ALEX;CAT;BLACK;10;
BELLA;DOG;BLUE BRIND;6;
*KYLE;CAT;GRAY;4;
KERSHAW;CAT;WHITE;6;
*BUD;DOG;TAN;7;
*FLIP;CAT;BLACK;4;
REGAL;CAT;BRN TABBY;4;
*BOOP;CAT;BRN TABBY;4;
*BETTY;CAT;BRN TABBY;4;
*LUCILLE;DOG;RED;5;
ROSEY;CAT;CALICO;8;
ARES;CAT;GRAY;1;
TALULA;DOG;WHITE;17;
CAIRO;DOG;BROWN;5;
*RISALAMANDE;CAT;BLACK;7;
LADY;DOG;BR BRINDLE;17;
DAISY;CAT;CALICO DIL;7;
*LILA'S KITTEN 2;CAT;BLACK;0;
*OLIVER;CAT;ORG TABBY;5;
GAIA;CAT;GRAY TABBY;9;
ROSCOE;DOG;TAN;10;
*HONEY;GUINEA PIG;BROWN;1;
DICE;CAT;BLACK;5;
RAIDER;DOG;BLACK;8;
MAX;DOG;TAN;10;
MOLLY;DOG;WHITE;9;
SWEETIE;CAT;BRN TABBY;4;
LEO;DOG;WHITE;9;
*MUNSTER;CAT;BRN TABBY;6;
*HUXLEY;CAT;BRN TABBY;8;
A628220 CATNESS;CAT;BLACK;6;
*JOEY;DOG;BROWN;0;
PENELOPE;DOG;BR BRINDLE;0;
*JERALD;DOG;BR BRINDLE;0;
*JEB;DOG;BR BRINDLE;0;
PIPER;DOG;BLACK;1;
*ASTRID VAL;CAT;CALICO;10;
LUCKY;DOG;TAN;10;
MOCHA;DOG;BLACK;8;
BUDDY;DOG;GRAY;13;
BISCUITS;DOG;BROWN;2;
*WILLA;DOG;WHITE;9;
*GRACIE;DOG;BLACK;18;
*DAKOTA;CAT;ORG TABBY;4;
BUSTER;DOG;BROWN;13;
ROCKET;CAT;GRAY;9;
*TODD;CAT;BRN TABBY;9;
TIPPY;DOG;BLACK;5;
*JORDAN;CAT;WHITE;1;
JIGGI;DOG;YELLOW;9;
REX;DOG;RED;12;
ROCKY;DOG;TRICOLOR;8;
KLUTCH;DOG;BLACK;8;
*SELTZER;CAT;SNOWSHOE;17;
*PANINI;CAT;BLACK;0;
SCONCE;DOG;BROWN;7;
SUMMER;CAT;CHOC PT;6;
COHIBA;DOG;TAN;6;
ANGEL;DOG;FAWN;20;
PERCY;CAT;TORTIE;7;
*CHEROKEE;CAT;BLACK;6;
POOCHIE;DOG;TAN;11;
RACA;DOG;WHITE;9;
*FREDDIE;DOG;BROWN;9;
CIARA;DOG;WHITE;2;
*MOXIE;DOG;WHITE;13;
LUCKY;DOG;WHITE;9;
*MARIAH;DOG;BROWN;7;
*LOKI;DOG;GRAY;7;
*MOLLY;DOG;TAN;7;
WHISKEY;CAT;BRN TABBY;5;
*DOC;DOG;BROWN;12;
BEAGLEY;DOG;WHITE;9;
*FRANKLIN;DOG;TRICOLOR;21;
*MR. KITTY;CAT;WHITE;4;
*SCOUT;DOG;TAN;8;
*SHELLEY;DOG;WHITE;9;
MILO;DOG;WHITE;1;
*CHARMING;CAT;GRAY;5;
*BISCUIT;CAT;BLACK;7;
DULCE;DOG;GRAY;1;
RICKY;DOG;BLACK;20;
GUNNER;DOG;TRICOLOR;8;
SPICEY;DOG;BROWN;7;
*CAMILLE;CAT;GRAY TABBY;7;
BRANDON;DOG;WHITE;8;
CUPCAKE;DOG;WHITE;7;
*FARRAH;DOG;BLACK;2;
*KING PIN;CAT;BRN TABBY;6;
*SCARLETT;CAT;BLACK;4;
BABY;DOG;BROWN;5;
*PABLITO M. JAVIER;CAT;GRAY TABBY;4;
DOODLES;DOG;TAN;18;
*SAMANTHA;DOG;BLACK;8;
*MUNCHIE;DOG;BLACK;8;
LAYLA;DOG;WHITE;4;
CHIKIS;DOG;TAN;15;
*BUDDY;DOG;BLUE MERLE;16;
STAR ROSE;DOG;BLACK;10;
*DREW;DOG;BROWN;9;
ROYALTY;DOG;BLACK;4;
TACO;DOG;TAN;13;
ACHILLES;DOG;BR BRINDLE;7;
*CASPER;DOG;TAN;8;
*PETE;DOG;TAN;8;
*DUNCAN;RABBIT;BROWN;6;
*MIPPSY;CAT;ORG TABBY;7;
*OPI;CAT;ORG TABBY;12;
JEDI;DOG;BROWN;9;
*GUS;DOG;BROWN;13;
*ROO;DOG;RED MERLE;6;
SAMPSON;DOG;BLUE;11;
*BLU;DOG;WHITE;5;
LEIA;DOG;BROWN;12;
*WILLOW;DOG;BLACK;7;
*WILLOW;CAT;TORTIE;7;
KING TUT;DOG;BROWN;10;
TITO;DOG;BROWN;2;
*HENRY;DOG;TAN;8;
BLANCO;DOG;TAN;5;
BELLA;DOG;BLACK;4;
*GENNY;DOG;BROWN;0;
CLARA;DOG;BLACK;8;
*DANNY;DOG;TAN;8;
SPIKE#2;DOG;TAN;17;
*FERN;DOG;WHITE;12;
DUTCHESS;DOG;TAN;7;
*APRIL APRIL;CAT;BLACK;7;
AZARA;CAT;BLACK;5;
SPOTS;DOG;WHITE;5;
*JAMES;DOG;BROWN;3;
*LIL NUG;CAT;BRN TABBY;1;
*HUMBOLT;DOG;GRAY;1;
*MICAH;CAT;GRAY TABBY;9;
*STARRY;CAT;SEAL PT;7;
*RILEY;CAT;BLACK;9;
*KELLEY;DOG;BLACK;16;
*MOOSHER;CAT;GRAY TABBY;10;
GARFIELD;CAT;ORANGE;19;
*DANNY;DOG;BLACK;1;
*HARLOW;CAT;BLACK;2;
VIDALIA;DOG;FAWN;12;
*MAGGIE;CAT;TORTIE DIL;5;
PUNKIN;CAT;ORG TABBY;2;
*BROOKLYNN;DOG;BLUE;10;
*SKY WALKER;CAT;BLACK;13;
*ALBERTO;CAT;ORANGE;3;
KODA;DOG;GRAY;3;
MAYA;DOG;BLACK;10;
IRIE;DOG;FAWN;14;
*SPICEY;CAT;BRN TABBY;0;
*CAPTAIN;DOG;BLACK;2;
PANDA;DOG;BLACK;3;
*CHAMP;CAT;BLACK;2;
GORDO;DOG;BROWN;8;
*SABRINA;CAT;BLACK;5;
*WINKY;CAT;BLACK;4;
MACY;CAT;GRAY TABBY;4;
*DIPSY;CAT;BLACK;4;
BLUE;DOG;BLUE;6;
LOULOU;CAT;BLACK;1;
FRITZY;CAT;BLACK;5;
KILLER;DOG;TAN;8;
*BEAU;CAT;BLACK;2;
*PHOENIX;DOG;GRAY;5;
*SQUIRTLE;REPTILE;BROWN;4;
DOT;CAT;GRAY;2;
*MUGSY;DOG;TAN;2;
STEWIE;CAT;BRN TABBY;10;
LENNY;CAT;BLACK;0;
MAUI;CAT;GRAY TABBY;4;
XOCHITL;DOG;BLACK;6;
BATTY;CAT;BRN TABBY;22;
PRINCESS;DOG;TAN;6;
*FANCY FACE;CAT;ORG TABBY;7;
JAX;DOG;BLACK;7;
*BRUNO;CAT;GRAY;0;
BAM;DOG;BLACK;10;
JELLO;CAT;GRAY;12;
DINKY;DOG;TAN;10;
HENDRIX;DOG;TAN;3;
*BIJOU;DOG;WHITE;14;
*LUPIN;CAT;BRN TABBY;0;
LUXOR;CAT;BLACK;4;
LUNA;DOG;BLACK;6;
JACK DANIELS;DOG;BROWN;7;
LUCKY;DOG;TRICOLOR;17;
*VALENTINA;CAT;CALICO;0;
*RED HOT;CAT;GRAY;0;
*CENA;CAT;GRAY TABBY;0;
*CHELLI;CAT;GRAY TABBY;0;
*SPARROW;CAT;BRN TABBY;0;
DIESEL;DOG;WHITE;8;
BROLY;DOG;TAN;3;
*TIPPI DINK;CAT;ORG TABBY;9;
*LUBOWSKI;DOG;GRAY;3;
BAILEY;DOG;BLACK;12;
KOBE;DOG;TAN;18;
MAX;CAT;ORG TABBY;1;
MAZEY;DOG;BLACK;5;
MOLLY;DOG;BROWN;13;
SOPHIA;CAT;WHITE;8;
PRINCESS;DOG;TAN;7;
A634337*ANGELINO;CAT;WHITE;6;
REX;DOG;BLACK;11;
REN;DOG;BLACK;8;
BERRY;DOG;WHITE;8;
REX;DOG;BLACK;3;
*BENNY;CAT;BRN TABBY;2;
HOBBS;DOG;BROWN;8;
*PANCAKES;RABBIT;WHITE;5;
*TWINKY;CAT;BLACK;3;
NORMAN;CAT;BLACK;3;
*WINNIE;CAT;GRAY TABBY;0;
*HASBRO;DOG;WHITE;1;
RUPERT;DOG;FAWN;2;
*IVAN;DOG;BROWN;1;
DEAN;GUINEA PIG;BROWN;5;
*HAZEL;DOG;TAN;2;
*SPEK;CAT;BRN TABBY;5;
OSITO;DOG;WHITE;9;
ORLANDO (MIO);CAT;BLACK;0;
*SANDY;CAT;BROWN;0;
*BOO BOO;DOG;BROWN;11;
KITTEN 3;CAT;WHITE;2;
KITTEN 2;CAT;CALICO;2;
*SOOT;CAT;BLACK;1;
*DINGO;CAT;WHITE;0;
*CABANNA;CAT;GRAY TABBY;7;
*CHILI;CAT;GRAY TABBY;5;
*LADY;CAT;BRN TABBY;1;
*DELLA;CAT;CALICO TAB;8;
ARCHIE;DOG;WHITE;7;
*HAROLD;CAT;BRN TABBY;4;
BEAUTY;DOG;BLACK;17;
CLEOPATRA (CLEO);CAT;CALICO;10;
*COVER GIRL;CAT;GRAY TABBY;6;
AQUILES;DOG;WHITE;13;
MEOWTASTIC;CAT;BLACK;6;
ONYX;DOG;BLACK;7;
*DEEDEE;CAT;BLACK;9;
*SIMON;CAT;WHITE;7;
FLUFFY;CAT;BROWN;5;
*MARMALADE;CAT;ORANGE;4;
MANCHAS;DOG;BLACK;1;
*LUCILLE;CAT;ORANGE;9;
COOKIE;DOG;WHITE;18;
*BISCUIT;CAT;BLACK;0;
*BUTTONS;CAT;GRAY TABBY;0;
*CARLOTTA;RABBIT;BLACK;1;
*CUPCAKE;DOG;GRAY;3;
HOPPY;RABBIT;ORANGE;7;
*FRED;CAT;ORANGE;1;
FRIDAY;DOG;TAN;8;
*BALOO;DOG;BLACK;2;
*DIDGIT POLYDACTAL;CAT;TORTIE DIL;5;
PEPPER;DOG;LIVER TICK;7;
*CHIHIRO;CAT;BLACK;0;
*KAMAJI;CAT;BLACK;0;
*FISH;CAT;BLACK;5;
*LOLA;RABBIT;TAN;3;
*GINGER;RABBIT;TAN;3;
*HORCHATA;RABBIT;TAN;3;
*SPICE;RABBIT;TAN;3;
*SPRINKLES;CAT;CALICO;12;
EINSTEIN;DOG;BLACK;19;
DIZZY;DOG;APRICOT;10;
*CHAMOMILE;DOG;BLACK;6;
*TINSEL;CAT;BLACK;2;
KONA;DOG;BLACK;10;
BABY;CAT;BRN TABBY;4;
*DAINTY;CAT;TORTIE;12;
FALCO;BIRD;BROWN;4;
CHARLOTTE;CAT;SNOWSHOE;11;
*OLD JOE;DOG;TAN;13;
*CALI MAMA;CAT;CALICO;7;
*TOOTS;CAT;BLACK;5;
GINGER;GUINEA PIG;RED;6;
RAIDER;DOG;BLACK;8;
LILY;CAT;CALICO;1;
CHLOE;DOG;BLUE BRIND;5;
PAPA;DOG;SEAL;3;
SADIE;DOG;TAN;8;
*SILVER;CAT;GRAY TABBY;0;
*ARROW;CAT;BLACK;1;
*ASHTON;CAT;BLACK;1;
STEVIE;DOG;BLACK;13;
TITAN;DOG;WHITE;8;
ZYLO;CAT;BLACK;14;
SHEA;DOG;BROWN;5;
A630304;CAT;BRN TABBY;7;
*SMOKEY;CAT;BLACK;0;
*SHADE;CAT;BLACK;10;
GREY 4;CAT;GRAY TABBY;2;
GREY 2;CAT;GRAY TABBY;2;
GREY 3;CAT;GRAY TABBY;2;
*PIPER;DOG;RED;5;
SCARLETT;DOG;BROWN;2;
*LIZBETH;CAT;BRN TABBY;0;
*SERAPHINA;CAT;ORG TABBY;0;
*CHARLES;CAT;ORG TABBY;0;
*CECIL;RABBIT;WHITE;0;
*OLLIE;CAT;WHITE;4;
TAZZY;CAT;GRAY;5;
BLUE KATZ;CAT;GRAY;3;
*LEMON GRASS;CAT;GRAY;3;
*SATINE;CAT;BLACK;1;
*BUTTERFINGER;CAT;BRN TABBY;0;
LULU;CAT;BLUE;0;
*SUNFLOWER;CAT;GRAY;0;
BEAN;DOG;BLACK;1;
*SANDY;CAT;SEAL PT;2;
*TIMMY;CAT;ORG TABBY;1;
*SPIGOT;CAT;ORG TABBY;7;
*STAR LORD;CAT;GRAY TABBY;7;
*MILEY;CAT;GRAY TABBY;1;
*GUACAMOLE;CAT;WHITE;0;
*ESMERALDA;DOG;WHITE;14;
YIN;CAT;WHITE;4;
BLUE;DOG;BROWN;6;
A628464*JIMMY;CAT;BRN TABBY;8;
ROCKI;CAT;BRN TABBY;5;
*OLYMPIA;CAT;BRN TABBY;4;
*AUBURN;CAT;GRAY TABBY;4;
ZIPPY;DOG;BLACK;6;
*BIRDIE;CAT;BLACK;0;
A634889*MRS.SOUL;CAT;BRN TABBY;4;
*CUPID;DOG;TRICOLOR;8;
RYDER;DOG;BLACK;2;
CESAR;DOG;BLACK;5;
*PENELOPE;CAT;BROWN;1;
ROSEMARY;CAT;CALICO TAB;6;
*GINGER;CAT;CALICO TAB;8;
DANTE;DOG;WHITE;5;
STRAY 1;CAT;TORTIE;0;
*BENEDICT CUMBERMUTT;DOG;WHITE;6;
*CHAPITO;DOG;BLACK;5;
*GUZMAN;DOG;CREAM;5;
*SNOWPEA;CAT;GRAY TABBY;0;
*BUTTERNUT;CAT;LYNX PT;5;
BON BON;RABBIT;BROWN;7;
*MILES;DOG;BLACK;2;
JADE;CAT;TORTIE DIL;2;
*JULIUS;CAT;ORANGE;2;
GRACIE;DOG;BLACK;13;
LAYAN;DOG;BLACK;5;
CHIQUITIN;DOG;TAN;9;
MISCHELLE;CAT;BLACK;2;
*HILLARY;DOG;GRAY;9;
*JILL;DOG;WHITE;6;
ROXY;DOG;BROWN;6;
*MULDER;CAT;GRAY;3;
CUCA;DOG;BLACK;10;
*BANDIT;DOG;BLACK;6;
*RIVER;CAT;BLACK;2;
ALASKA;DOG;BLACK;5;
*SMALL FRY;DOG;TAN;4;
SPANKEY;DOG;TRICOLOR;14;
*PEACH;CAT;TORTIE;4;
ARIES;DOG;CREAM;5;
*FRIED;CAT;TORTIE;0;
RASCAL;DOG;BLACK;4;
*SKUNK;CAT;BLACK;5;
*RAVEN;CAT;BLACK;3;
*JULIA;DOG;BROWN;2;
*TOFU;DOG;WHITE;3;
CODY;DOG;TAN;2;
OLLIE;DOG;TAN;5;
*BEAUTY;CAT;SEAL PT;6;
*KOHLRABI;CAT;WHITE;5;
A656928;CAT;ORANGE;3;
*OJ;CAT;ORG TABBY;7;
ZION;DOG;GOLD;13;
ASHER;DOG;BR BRINDLE;10;
*TIKKA MASALA;CAT;BRN TABBY;7;
*POPPY SEED;CAT;BLACK;5;
*BROOKLYN;DOG;BLACK;3;
*CATRINA;CAT;GRAY;8;
*ARCHIE;CAT;BRN TABBY;6;
*HEATHER;DOG;BROWN;10;
LALA;DOG;WHITE;1;
*PAWLIVIA;DOG;BLACK;8;
*ARORUA SNR;CAT;BLACK;6;
*CHANDLER;DOG;BLACK;1;
ASHLEY;CAT;GRAY;2;
MILO;DOG;WHITE;7;
DRAGO;DOG;BLACK;6;
LOKI;DOG;BLACK;4;
CEELO;DOG;TAN;5;
KITTLES;RABBIT;WHITE;9;
*LUCIE;CAT;GRAY;1;
*SANDY;CAT;SEAL PT;4;
*SAL;CAT;LI LYNX PT;4;
*KACIE;CAT;TORTIE;5;
BUTTONS;CAT;BLACK;7;
ZEUS;DOG;BLACK;14;
SIDNEY;CAT;BLACK;8;
BELLA;DOG;WHITE;14;
HOLLY;DOG;BROWN;17;
*BLUEBERRY;CAT;ORANGE;6;
*SEANCE;CAT;BLACK;7;
UNKNOWN;CAT;ORG TABBY;2;
UNKNOWN;CAT;BRN TABBY;2;
NENE;DOG;WHITE;13;
MAX;DOG;BROWN;3;
*CINDY CLAWFORD;CAT;GRAY;1;
*BIG WILL;DOG;WHITE;6;
MUFASA;CAT;BLK TABBY;8;
ZEUS;DOG;BLACK;11;
A640586;CAT;BLACK;4;
A640524;CAT;BRN TABBY;5;
FALCON 1;CAT;BLACK;1;
FALCON 4;CAT;BLACK;1;
FALCON 2;CAT;ORANGE;1;
Q WU;DOG;BROWN;20;
*ELLIE;DOG;BLACK;11;
TEDDY;DOG;WHITE;15;
*JASPER;CAT;BLACK;2;
*FRECKLE;CAT;TORTIE DIL;1;
*ASTRO;DOG;WHITE;13;
LOKI;DOG;BLACK;3;
MILO;DOG;WHITE;4;
BUBBA;DOG;BLUE;13;
BLAVI;DOG;BLACK;9;
*MISSY;CAT;BRN TABBY;3;
LALA;DOG;BLACK;8;
A635629;CAT;GRAY TABBY;4;
LUNA;CAT;WHITE;2;
*TURNER;CAT;WHITE;2;
A635628;CAT;GRAY TABBY;8;
*RAINBOW;CAT;GRAY TABBY;2;
A645551;CAT;GRAY TABBY;3;
KING KAI;DOG;GRAY;5;
COOKIE;DOG;GRAY;17;
MR. PATCHES;RABBIT;WHITE;6;
*LISA LEFTY;DOG;BROWN;1;
*CHILI;DOG;BROWN;1;
PEANUT;DOG;WHITE;7;
*ARBYS;DOG;BROWN;2;
ZUBEE;DOG;WHITE;8;
LUNA;DOG;GRAY;3;
*JULEP;DOG;GRAY;9;
*PUCKER;CAT;GRAY TABBY;4;
THELMA;CAT;CALICO DIL;2;
BLACK JACK;DOG;BLACK;12;
*DIVA;DOG;BLACK;6;
*LISA LE;CAT;BRN TABBY;2;
GROOT;CAT;GRAY;5;
COCO;DOG;WHITE;9;
*ONION;CAT;BLACK;10;
ANGEL;DOG;BROWN;7;
*HARLOWE;CAT;CHOC PT;0;
*HOLLIS;CAT;GRAY;0;
*MOUSSE;CAT;BLACK;0;
*NOUGAT;CAT;GRAY TABBY;0;
CASEY;DOG;TAN;6;
BABY CAT 4;CAT;GRAY TABBY;4;
BAM BAM;DOG;TAN;11;
*ELANOR;CAT;WHITE;3;
SCRUFFY;DOG;WHITE;5;
MUNCHIE BEAR 2;CAT;BLACK;9;
*SEGER;DOG;TAN;2;
*VIOLET;CAT;BRN TABBY;1;
